stat,basis,bin,x,frac_diff,band,n_realizations,n_seeds
l1,std,3,1.25,0.0035521144646720433,0.0016074159538329526,200,1
l1,std,3,1.75,-0.001736751716961413,0.0023818093966095806,200,1
l1,std,3,2.25,-0.013236447762542021,0.003623716016925633,200,1
l1,std,3,2.75,-0.034462984843398665,0.005657696184172056,200,1
l1,std,3,3.25,-0.07119926276597767,0.010723635126360532,200,1
l1,std,3,3.75,-0.12234568496703632,0.01897687332155519,200,1
l1,std,3,4.25,-0.18527544129399776,0.026657069531864204,200,1
l1,std,3,4.75,-0.2308255481024331,0.03948841845469832,200,1
l1,std,3,5.25,-0.26783629978299267,0.06103299299128079,200,1
l1,std,3,5.75,-0.2898692653399384,0.08650962373249745,200,1
l1,std,3,6.25,-0.30851001468291184,0.0990922040917672,200,1
l1,std,3,6.75,-0.29254588175192026,0.13976461669732662,200,1
l1,std,3,7.25,-0.2966030002328572,0.20297193432482963,200,1
l1,std,3,7.75,-0.3404377602900576,0.2314204564280305,200,1
l1,std,3,8.25,-0.32109298831018096,0.30509874435452083,200,1
l1,std,3,8.75,-0.30368343581074697,0.41659750269265966,200,1
l1,std,3,9.25,-0.3466591333738703,0.5333019243376143,200,1
l1,std,3,9.75,-0.3825073959565827,0.5605790554180264,200,1
l1,bnt,4,-9.25,0.09818513134776187,4.966603687612834,200,1
l1,bnt,4,-8.75,-0.06516664661482285,2.5327830218715626,200,1
l1,bnt,4,-8.25,0.005748551235905872,1.0708859172139154,200,1
l1,bnt,4,-7.75,-0.001228885422134132,0.49640171657903437,200,1
l1,bnt,4,-7.25,-0.0008739226808439465,0.23772629098061834,200,1
l1,bnt,4,-6.75,-0.00014217613024202072,0.12111823567366503,200,1
l1,bnt,4,-6.25,2.2079031101887785e-05,0.06888478369053523,200,1
l1,bnt,4,-5.75,-0.0003695054412618827,0.03633947556873574,200,1
l1,bnt,4,-5.25,-1.2461917307918035e-05,0.02164546978902275,200,1
l1,bnt,4,-4.75,-0.00013284461391106927,0.013598207239213225,200,1
l1,bnt,4,-4.25,-6.244395110050594e-05,0.009454022947093636,200,1
l1,bnt,4,-3.75,-8.220108386536343e-05,0.005960689287882669,200,1
l1,bnt,4,-3.25,-3.7342194339757715e-05,0.004307920942678207,200,1
l1,bnt,4,-2.75,-2.211936718452953e-06,0.003121541160207795,200,1
l1,bnt,4,-2.25,-3.4242392529708155e-05,0.0025533957184672596,200,1
l1,bnt,4,-1.75,-1.6879149964464428e-06,0.0020337561090443997,200,1
l1,bnt,4,-1.25,1.4096000146677614e-05,0.0017350048777332147,200,1
l1,bnt,4,-0.75,9.797996220095337e-06,0.0015885815132903234,200,1
l1,bnt,4,-0.25,-3.6511245743608797e-06,0.0017254660644421783,200,1
l1,bnt,4,0.25,2.164716548336333e-05,0.0018352089758701035,200,1
l1,bnt,4,0.75,7.14229174151413e-06,0.0016578152723237965,200,1
l1,bnt,4,1.25,2.018069553218929e-05,0.0018078206085535905,200,1
l1,bnt,4,1.75,-9.58289332692323e-06,0.0018780817438222629,200,1
l1,bnt,4,2.25,-2.5656032159656153e-05,0.0025096061511343582,200,1
l1,bnt,4,2.75,-1.8884392983426468e-05,0.0032887595684255584,200,1
l1,bnt,4,3.25,-3.8995244259708775e-05,0.0040113823789107335,200,1
l1,bnt,4,3.75,-8.268411063388366e-05,0.0063657765958720644,200,1
l1,bnt,4,4.25,-6.927172769218576e-05,0.008425017380976537,200,1
l1,bnt,4,4.75,-6.595957025691745e-05,0.012640521622741343,200,1
l1,bnt,4,5.25,-0.00018182537904400716,0.023721238031587495,200,1
l1,bnt,4,5.75,2.8995732852156824e-05,0.033147044603110486,200,1
l1,bnt,4,6.25,-0.00019547388502054583,0.06512164619053151,200,1
l1,bnt,4,6.75,-0.00030155340339595735,0.1207980764597762,200,1
l1,bnt,4,7.25,-0.0011607155437775901,0.23775080562707848,200,1
l1,bnt,4,7.75,-1.6621232639657303e-05,0.5596279370998939,200,1
l1,bnt,4,8.25,-0.00602074900003984,1.111341545278215,200,1
l1,bnt,4,8.75,0.03161513852776879,2.6941758668701077,200,1
l1,bnt,4,9.25,-2.0202688875172974e-05,6.245562220131267,200,1
l1,bnt,4,9.75,5.49735842255295e-05,9.951480797189385,200,1
l1,std,4,-6.25,-0.0001113247127008195,14.105165551335874,200,1
l1,std,4,-5.75,-0.06563674082950163,1.6843844288689793,200,1
l1,std,4,-5.25,-0.05285468745085601,0.5001724824895646,200,1
l1,std,4,-4.75,-0.03969976183059773,0.16383859886194996,200,1
l1,std,4,-4.25,-0.03464894483327395,0.06244039903358462,200,1
l1,std,4,-3.75,-0.02808486378962731,0.026273250523090232,200,1
l1,std,4,-3.25,-0.023805058285545057,0.012106941039269552,200,1
l1,std,4,-2.75,-0.018445209151003755,0.006103850311667395,200,1
l1,std,4,-2.25,-0.013441186764095637,0.0037061660705440245,200,1
l1,std,4,-1.75,-0.008716351939455769,0.002292579232795607,200,1
l1,std,4,-1.25,-0.004355604612171575,0.0016088972063477939,200,1
l1,std,4,-0.75,-0.000568285490278498,0.0012227312160002469,200,1
l1,std,4,-0.25,0.0023601673345824093,0.0014850973065440875,200,1
l1,std,4,0.25,0.005457933412562065,0.0015140190387791742,200,1
