stat,scale,bin,snr,frac_diff,band,n_realizations,n_seeds
l1,2,4,2.75,-0.0014507372862210468,0.00517551173786825,200,1
l1,2,4,3.25,-0.0037956647892550496,0.007441954950906502,200,1
l1,2,4,3.75,-0.006521441347667402,0.010088335079562605,200,1
l1,2,4,4.25,-0.010472048747087227,0.01329081775879674,200,1
l1,2,4,4.75,-0.015184776230926806,0.01769966968609213,200,1
l1,2,4,5.25,-0.020790578188202773,0.024630976843206167,200,1
l1,2,4,5.75,-0.026997788601623135,0.0338876116086379,200,1
l1,2,4,6.25,-0.03630675204958276,0.04132901991119061,200,1
l1,2,4,6.75,-0.041254662616686796,0.052192125726374154,200,1
l1,2,4,7.25,-0.05277084111406228,0.0731377494708892,200,1
l1,2,4,7.75,-0.06399019361778935,0.08831522478880341,200,1
l1,2,4,8.25,-0.07414825981531589,0.11031805621919978,200,1
l1,2,4,8.75,-0.07622184207657434,0.141221534325305,200,1
l1,2,4,9.25,-0.08946712097134235,0.18195853097494968,200,1
l1,2,4,9.75,-0.09714958908994299,0.2193287587651153,200,1
l1,3,1,-7.25,-0.25578226014360267,10.498483167537865,200,1
l1,3,1,-6.75,-0.14057325816725186,10.847649304533837,200,1
l1,3,1,-6.25,-0.06374253718256039,4.707181951721817,200,1
l1,3,1,-5.75,-0.007354026997865684,1.8857277702166955,200,1
l1,3,1,-5.25,-0.019488997455087503,0.7181048938223173,200,1
l1,3,1,-4.75,-0.013908688640694888,0.30309835125347756,200,1
l1,3,1,-4.25,-0.009620171155507805,0.14910805731678614,200,1
l1,3,1,-3.75,-0.007837387420320205,0.07600822895282947,200,1
l1,3,1,-3.25,-0.005364030655803525,0.047216027362778704,200,1
l1,3,1,-2.75,-0.003862677497923273,0.026855052606554592,200,1
l1,3,1,-2.25,-0.0025220180664766636,0.01600153735122092,200,1
l1,3,1,-1.75,-0.0014785955083832986,0.010077729125319353,200,1
l1,3,1,-1.25,-0.0005940056641240588,0.005224825076228645,200,1
l1,3,1,-0.75,9.716437604827441e-05,0.005089936670781169,200,1
l1,3,1,-0.25,0.000556793479447128,0.00601884935879431,200,1
l1,3,1,0.25,0.0010306455096547294,0.005774827125048509,200,1
l1,3,1,0.75,0.001046440862740099,0.0057275133631326264,200,1
l1,3,1,1.25,0.0007777019412802426,0.006638515674043466,200,1
l1,3,1,1.75,6.81446462041029e-05,0.007898151384601525,200,1
l1,3,1,2.25,-0.001317579698335805,0.013021048397800758,200,1
l1,3,1,2.75,-0.003893907499114301,0.023573551029668446,200,1
l1,3,1,3.25,-0.00788074286254484,0.03736143160781607,200,1
l1,3,1,3.75,-0.013497254971824555,0.05719972610852832,200,1
l1,3,1,4.25,-0.021989335975139367,0.08422645995878762,200,1
l1,3,1,4.75,-0.029675464799135135,0.12204713191951373,200,1
l1,3,1,5.25,-0.03895365929936992,0.16631088729761068,200,1
l1,3,1,5.75,-0.04650368693593269,0.20399558309787472,200,1
l1,3,1,6.25,-0.05615735109079613,0.24586828152822804,200,1
l1,3,1,6.75,-0.056171087118867986,0.30981172850312283,200,1
l1,3,1,7.25,-0.07930356304445356,0.35006135740220734,200,1
l1,3,1,7.75,-0.07508134194882342,0.4179452094608775,200,1
l1,3,1,8.25,-0.08841668838376303,0.45160011238854775,200,1
l1,3,1,8.75,-0.07464761437689733,0.48917235370530016,200,1
l1,3,1,9.25,-0.0777457967453977,0.5948891657404815,200,1
l1,3,1,9.75,-0.09696040152891754,0.7174146785302912,200,1
l1,3,2,-7.75,-0.37729785975942925,6.321316221682879,200,1
l1,3,2,-7.25,-0.048018786245381175,4.031258990059235,200,1
l1,3,2,-6.75,-0.034825949540518236,1.611680840368171,200,1
l1,3,2,-6.25,-0.019315867929777058,0.7131727666447037,200,1
l1,3,2,-5.75,-0.01647898084775769,0.3564022454993876,200,1
l1,3,2,-5.25,-0.013102220096152093,0.16982036644373738,200,1
l1,3,2,-4.75,-0.009739207753629445,0.0974040482901017,200,1
l1,3,2,-4.25,-0.00728292803440511,0.061896421558248566,200,1
l1,3,2,-3.75,-0.005822709467611183,0.035461402566311126,200,1
l1,3,2,-3.25,-0.0041321726802050415,0.022141735143837514,200,1
l1,3,2,-2.75,-0.0028992800544230517,0.014720833909577733,200,1
l1,3,2,-2.25,-0.0018512722825726705,0.010940497391807752,200,1
l1,3,2,-1.75,-0.0009545842518221203,0.006384528225882809,200,1
