stat,basis,bin,x,frac_diff,band,n_realizations,n_seeds
l1,std,1,-4.75,-0.015413328305330822,0.5638945363925643,200,1
l1,std,1,-4.25,-0.009687292018346007,0.1819577079665722,200,1
l1,std,1,-3.75,-0.008167813990273063,0.062250940428579656,200,1
l1,std,1,-3.25,-0.007182264928229867,0.027025844151972123,200,1
l1,std,1,-2.75,-0.005280915799956697,0.014686699990110817,200,1
l1,std,1,-2.25,-0.0038129708218108496,0.007100424618760445,200,1
l1,std,1,-1.75,-0.002512876627076289,0.004023856514119075,200,1
l1,std,1,-1.25,-0.001198943599974149,0.0029029970462644346,200,1
l1,std,1,-0.75,-0.0001528773373798911,0.0023794750379142107,200,1
l1,std,1,-0.25,0.000643524110634922,0.002268671738358965,200,1
l1,std,1,0.25,0.0013523065434061523,0.0023033530402402406,200,1
l1,std,1,0.75,0.0013067667512665015,0.0022200545747917007,200,1
l1,std,1,1.25,0.0005376605101979566,0.0027313367658863812,200,1
l1,std,1,1.75,-0.0014572791868223088,0.004234343304606059,200,1
l1,std,1,2.25,-0.005846568559155016,0.007747916253216751,200,1
l1,std,1,2.75,-0.01528765045074937,0.013243260700720353,200,1
l1,std,1,3.25,-0.03407266370520131,0.029821956806638256,200,1
l1,std,1,3.75,-0.0781995039539741,0.05608643408395006,200,1
l1,std,1,4.25,-0.17592544729946175,0.11021618209961533,200,1
l1,std,1,4.75,-0.29567141736078134,0.2397567296768916,200,1
l1,std,1,5.25,-0.42015159437894184,0.3753301988632275,200,1
l1,std,1,5.75,-0.5253226406129999,0.49352385768275714,200,1
l1,std,1,6.25,-0.49571032927422387,0.7151543283276888,200,1
l1,std,1,6.75,-0.5129103369820307,1.0779037559156843,200,1
l1,std,1,7.25,-0.53625962211106,1.339553244792175,200,1
l1,std,1,7.75,-0.34434241264225024,2.283087747983251,200,1
l1,std,1,8.25,-0.3756681860214488,2.836070813696169,200,1
l1,std,1,8.75,-0.6660151669248691,2.0899745151981217,200,1
l1,std,1,9.25,-0.7047653206930783,3.1652978073938987,200,1
l1,std,1,9.75,-0.5551967406565741,5.3455102315358625,200,1
l1,bnt,2,-8.75,0.0004886262878743985,24.227156494799267,200,1
l1,bnt,2,-8.25,-8.188004020683666e-05,12.016386199983028,200,1
l1,bnt,2,-7.75,0.05742202169413297,6.115206569916913,200,1
l1,bnt,2,-7.25,-0.01598454920280831,1.7210299492872783,200,1
l1,bnt,2,-6.75,-0.0027331066365171297,0.7067168087320034,200,1
l1,bnt,2,-6.25,-0.0016603373722505284,0.3431943839536311,200,1
l1,bnt,2,-5.75,-0.0041951459787014055,0.15904918056045148,200,1
l1,bnt,2,-5.25,-0.002081877457121576,0.07518267789078742,200,1
l1,bnt,2,-4.75,-0.002998475174336077,0.044685932403655974,200,1
l1,bnt,2,-4.25,-0.0018398054595363804,0.02551877223494196,200,1
l1,bnt,2,-3.75,-0.0015475930911145505,0.01604615957421981,200,1
l1,bnt,2,-3.25,-0.0011236739384774552,0.009321904449468336,200,1
l1,bnt,2,-2.75,-0.0007796446909701265,0.006254298580900455,200,1
l1,bnt,2,-2.25,-0.0005361292188673544,0.004587006039610055,200,1
l1,bnt,2,-1.75,-0.0002493895448560403,0.003565539372899838,200,1
l1,bnt,2,-1.25,4.919586777171123e-06,0.0028725082598331105,200,1
l1,bnt,2,-0.75,0.00013437926553570205,0.0026823069987286854,200,1
l1,bnt,2,-0.25,0.00026299849320315005,0.0026972379746205994,200,1
l1,bnt,2,0.25,0.0003172436293714073,0.0030760810315292805,200,1
l1,bnt,2,0.75,0.00027564194152996676,0.0024881000648622046,200,1
l1,bnt,2,1.25,0.00017248686140740918,0.0027911349423804825,200,1
l1,bnt,2,1.75,-5.422978810868725e-05,0.0033572891711314647,200,1
l1,bnt,2,2.25,-0.00039128527655339635,0.004236596031017589,200,1
l1,bnt,2,2.75,-0.0009241628336643613,0.006338308610410519,200,1
l1,bnt,2,3.25,-0.0016990986462379124,0.010271874322399673,200,1
l1,bnt,2,3.75,-0.002565020327948705,0.015433719760366126,200,1
l1,bnt,2,4.25,-0.0036721677255719437,0.026241516899443464,200,1
