area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
5000,780,2,2.883604,3,0.590078,0.824032,True
5000,780,3,1.995275,3,0.426612,0.563069,True
5000,780,4,1.940203,3,0.415090,0.546227,True
5000,780,5,1.963505,3,0.419984,0.553361,True
5000,820,1,2.813118,3,0.578655,0.804090,True
5000,820,2,2.729332,3,0.564734,0.780213,True
5000,820,3,1.918490,3,0.410504,0.539567,True
5000,820,4,3.099030,3,0.623393,0.884165,True
5000,820,5,2.692414,3,0.558482,0.769632,True
5000,860,1,3.469377,3,0.675244,0.984732,True
5000,860,2,2.792634,3,0.575286,0.798270,True
5000,860,3,3.204040,3,0.638777,0.913036,True
5000,860,4,3.346427,3,0.658767,0.951732,True
5000,860,5,3.277099,3,0.649157,0.932956,True
5000,900,1,4.090607,3,0.748155,1.145880,True
5000,900,2,3.977343,3,0.736079,1.117171,True
5000,900,3,3.397705,3,0.665726,0.965541,True
5000,900,4,2.542643,3,0.532366,0.726334,True
5000,900,5,2.426622,3,0.511302,0.692381,True
5000,940,1,3.524425,3,0.682392,0.999385,True
5000,940,2,4.033411,3,0.742121,1.131419,True
5000,940,3,4.797077,3,0.812726,1.318687,True
5000,940,4,3.377793,3,0.663039,0.960187,True
5000,940,5,3.740095,3,0.709069,1.056080,True
5000,980,1,4.287639,3,0.767967,1.195139,True
5000,980,2,4.394661,3,0.778119,1.221542,True
5000,980,3,3.952989,3,0.733415,1.110960,True
5000,980,4,5.413324,3,0.856084,1.461364,True
5000,980,5,5.011940,3,0.829075,1.369238,True
5000,1020,1,4.153655,3,0.754657,1.161735,True
5000,1020,2,4.774748,3,0.810946,1.313383,True
5000,1020,3,3.950817,3,0.733176,1.110406,True
5000,1020,4,4.454285,3,0.783596,1.236146,True
5000,1020,5,5.345126,3,0.851799,1.445916,True
10000,340,1,0.131131,3,0.012144,0.015221,True
10000,340,2,0.140693,3,0.013458,0.016867,True
10000,340,3,0.126346,3,0.011502,0.014416,True
10000,340,4,0.151164,3,0.014941,0.018727,True
10000,340,5,0.140057,3,0.013369,0.016756,True
10000,380,1,0.238899,3,0.028922,0.036256,True
10000,380,2,0.273924,3,0.035144,0.044061,True
10000,380,3,0.271661,3,0.034733,0.043545,True
10000,380,4,0.258771,3,0.032414,0.040636,True
10000,380,5,0.287544,3,0.037646,0.047200,True
10000,420,1,0.474598,3,0.075564,0.094848,True
10000,420,2,0.486301,3,0.078110,0.098053,True
10000,420,3,0.525491,3,0.086743,0.108932,True
10000,420,4,0.477785,3,0.076256,0.095719,True
10000,420,5,0.415535,3,0.062985,0.079022,True
10000,460,1,0.839632,3,0.160034,0.201937,True
10000,460,2,0.777439,3,0.145145,0.182927,True
10000,460,3,0.745783,3,0.137614,0.173338,True
10000,460,4,0.696526,3,0.125979,0.158553,True
10000,460,5,0.675725,3,0.121102,0.152366,True
10000,500,1,1.274541,3,0.264813,0.338234,True
10000,500,2,1.115924,3,0.226768,0.288151,True
10000,500,3,1.186905,3,0.243853,0.310545,True
10000,500,4,0.868249,3,0.166918,0.210750,True
10000,500,5,0.987200,3,0.195651,0.247723,True
10000,540,1,1.098480,3,0.222559,0.282655,True
10000,540,2,1.175184,3,0.241038,0.306844,True
10000,540,3,1.289562,3,0.268387,0.342980,True
10000,540,4,0.953783,3,0.187567,0.237288,True
10000,540,5,1.092956,3,0.221225,0.280916,True
10000,580,1,1.689724,3,0.360779,0.468788,True
10000,580,2,2.047599,3,0.437414,0.579004,True
10000,580,3,1.563550,3,0.332317,0.429331,True
10000,580,4,1.734695,3,0.370752,0.482786,True
10000,580,5,1.719878,3,0.367476,0.478178,True
10000,620,1,2.148650,3,0.457867,0.609590,True
10000,620,2,2.230031,3,0.473943,0.634036,True
10000,620,3,2.141411,3,0.456419,0.607407,True
10000,620,4,1.696475,3,0.362282,0.470892,True
10000,620,5,1.575187,3,0.334971,0.432981,True
10000,660,1,3.230267,3,0.642533,0.920203,True
10000,660,2,2.507048,3,0.525981,0.715956,True
10000,660,3,2.623071,3,0.546541,0.749660,True
10000,660,4,2.783516,3,0.573779,0.795676,True
10000,660,5,2.542482,3,0.532338,0.726288,True
10000,700,1,2.396798,3,0.505769,0.683595,True
10000,700,2,2.933278,3,0.597973,0.838006,True
10000,700,3,3.912577,3,0.728940,1.100624,True
10000,700,4,3.093927,3,0.622631,0.882754,True
10000,700,5,2.962926,3,0.602623,0.846316,True
10000,740,1,4.654369,3,0.801073,1.284614,True
10000,740,2,3.825311,3,0.719044,1.078175,True
10000,740,3,4.316616,3,0.770757,1.202312,True
10000,740,4,3.725983,3,0.707386,1.052405,True
10000,740,5,3.664538,3,0.699959,1.036346,True
10000,780,1,4.328856,3,0.771927,1.205336,True
