stat,scale,bin,snr,frac_diff,band,n_realizations,n_seeds
l1,2,1,9.25,-0.18092495991518392,0.9081923162934903,200,1
l1,2,1,9.75,-0.18322885351600643,1.095959449397153,200,1
l1,2,2,-7.25,-0.00057148438133154,24.20148557120273,200,1
l1,2,2,-6.75,-0.141783040361378,8.398205675201384,200,1
l1,2,2,-6.25,-0.04449230209418002,3.84265889568979,200,1
l1,2,2,-5.75,-0.06742062547063872,1.4183108430144549,200,1
l1,2,2,-5.25,-0.03536676796404037,0.5862277678064307,200,1
l1,2,2,-4.75,-0.02789454239956475,0.2406953645060098,200,1
l1,2,2,-4.25,-0.022134084019395324,0.11832756459970907,200,1
l1,2,2,-3.75,-0.016444394829992458,0.06085602347628957,200,1
l1,2,2,-3.25,-0.012173210719214027,0.032197124349590156,200,1
l1,2,2,-2.75,-0.008544950579490371,0.01983118542198977,200,1
l1,2,2,-2.25,-0.0057598026972258435,0.011699763830065601,200,1
l1,2,2,-1.75,-0.0032698562782737047,0.007632446798371835,200,1
l1,2,2,-1.25,-0.0012865691292427818,0.004627416508091826,200,1
l1,2,2,-0.75,0.00027816906641736703,0.004299411233068772,200,1
l1,2,2,-0.25,0.0013804425033776765,0.005070788028663337,200,1
l1,2,2,0.25,0.002379628622416415,0.005268479024094012,200,1
l1,2,2,0.75,0.0024463773388974986,0.004861630902114126,200,1
l1,2,2,1.25,0.0018506628279642394,0.00564413898469961,200,1
l1,2,2,1.75,0.00018990972522686013,0.0072545134631078435,200,1
l1,2,2,2.25,-0.002896185533316908,0.010769072814645907,200,1
l1,2,2,2.75,-0.008087192588107368,0.017567427940659606,200,1
l1,2,2,3.25,-0.015980089236605134,0.02684250107517252,200,1
l1,2,2,3.75,-0.027533437747298647,0.03898555151427977,200,1
l1,2,2,4.25,-0.04123066319691118,0.05957527926499531,200,1
l1,2,2,4.75,-0.05572385095899385,0.08390489328817012,200,1
l1,2,2,5.25,-0.07412303917461764,0.11765843156333725,200,1
l1,2,2,5.75,-0.08910635173585552,0.14194866891662095,200,1
l1,2,2,6.25,-0.09618726642723671,0.17650752204042697,200,1
l1,2,2,6.75,-0.1147978806075036,0.20860756175508072,200,1
l1,2,2,7.25,-0.11143194408543046,0.2670168635839402,200,1
l1,2,2,7.75,-0.1242560500363378,0.3404770459562212,200,1
l1,2,2,8.25,-0.13248391237971516,0.41667844992231856,200,1
l1,2,2,8.75,-0.15897268187225294,0.47452364957499055,200,1
l1,2,2,9.25,-0.14864592330408644,0.5917953219190533,200,1
l1,2,2,9.75,-0.1511541826942168,0.583570446890627,200,1
l1,2,3,-8.25,-0.0021710273895803275,24.162752118604924,200,1
l1,2,3,-7.75,-0.15848095416452068,6.595012294013783,200,1
l1,2,3,-7.25,-0.07608641885752765,2.823253898031095,200,1
l1,2,3,-6.75,-0.053631056297759126,1.2474800285357315,200,1
l1,2,3,-6.25,-0.0346230371830826,0.59554358734296,200,1
l1,2,3,-5.75,-0.036442753094609294,0.30041261004597525,200,1
l1,2,3,-5.25,-0.02296523700379795,0.1418348911750342,200,1
l1,2,3,-4.75,-0.02009843301341829,0.08175107920924338,200,1
l1,2,3,-4.25,-0.015570037963992015,0.054787840311783874,200,1
l1,2,3,-3.75,-0.011766376875036937,0.03330350750496319,200,1
l1,2,3,-3.25,-0.008705663888904681,0.019975803646203206,200,1
l1,2,3,-2.75,-0.006138878824247734,0.014044615563778416,200,1
l1,2,3,-2.25,-0.0038271504414059045,0.00821144436249619,200,1
l1,2,3,-1.75,-0.0019527987078187554,0.005443846107769295,200,1
l1,2,3,-1.25,-0.0003754678663013176,0.004974071604333482,200,1
l1,2,3,-0.75,0.0008855378352299139,0.004928647923231403,200,1
l1,2,3,-0.25,0.0016951759118257756,0.005160139792850638,200,1
l1,2,3,0.25,0.0023990512780689894,0.005887149011388351,200,1
l1,2,3,0.75,0.0024483988292087577,0.005407430893067585,200,1
l1,2,3,1.25,0.0021284859168923206,0.005480171757922293,200,1
l1,2,3,1.75,0.0010752374177984477,0.0063760141016429,200,1
l1,2,3,2.25,-0.0006400235567588886,0.008644877854043399,200,1
l1,2,3,2.75,-0.003208273140713563,0.012007720863186331,200,1
l1,2,3,3.25,-0.006727718997875831,0.015896005769318676,200,1
l1,2,3,3.75,-0.011643741813184007,0.020858720171181053,200,1
l1,2,3,4.25,-0.017792619755489927,0.03272207754975408,200,1
l1,2,3,4.75,-0.025292193657999337,0.043035210868168625,200,1
l1,2,3,5.25,-0.03439383564830698,0.056527077805006286,200,1
l1,2,3,5.75,-0.044497903265307066,0.0723352400792674,200,1
l1,2,3,6.25,-0.05262929182839952,0.10487229331101061,200,1
l1,2,3,6.75,-0.0650416352509321,0.13119454381252418,200,1
l1,2,3,7.25,-0.07795159424778271,0.1747282237067973,200,1
l1,2,3,7.75,-0.08390753733709638,0.21826072493072982,200,1
l1,2,3,8.25,-0.09610898542686594,0.2632166999835051,200,1
l1,2,3,8.75,-0.10179007527420125,0.33976192360864305,200,1
l1,2,3,9.25,-0.09840333004120601,0.39512576811666283,200,1
l1,2,3,9.75,-0.12988139619151812,0.42618691127556246,200,1
l1,2,4,-9.75,0.000518198039569618,24.22787258435525,200,1
l1,2,4,-9.25,-0.00123542934159721,19.09308543383908,200,1
l1,2,4,-8.75,-0.18267629074041253,10.024508493787518,200,1
l1,2,4,-8.25,-0.0900073122924997,3.8702143199215717,200,1
l1,2,4,-7.75,-0.04140794672641402,1.885117378517814,200,1
l1,2,4,-7.25,-0.04643527068773881,0.8534249767466457,200,1
l1,2,4,-6.75,-0.030973077914454483,0.46792084509463483,200,1
l1,2,4,-6.25,-0.024852123918437493,0.24069536048708065,200,1
l1,2,4,-5.75,-0.021711600545610537,0.13398040491327645,200,1
